"Code","F","mFC"
"ATF",0.028,7.67093864516566e-05
"COD",0.4162,0.00113962410726809
"DFD",0.0173757275693993,4.76047330668475e-05
"FFD",0.0022,6.02737909549678e-06
"FFS",0.0381146951338182,0.000104418370306836
"FHS",0.01694,4.64098819321634e-05
"POL",0.14743342,0.000403845610482456
"POP",0.0538,0.000147386397831517
"REX",0.0882,0.000241614642096266
"RFD",0.0143646321470912,3.93551565673731e-05
"RFP",0.039,0.000106843606883733
"RFS",0.0234513153261698,6.42481149772944e-05
"SBF",0.069972965,0.000191688378859189
"SCU",0.0315753080085974,8.65076931742394e-05
"SKB",0.0364,9.97260273972603e-05
"SKL",0.026,7.12328767123288e-05
"SKO",0.066,0.000180821917808219
"THO",0.0105347972018742,2.88624580873265e-05
